network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,CA,independence camp ,Independence Creek (160501020102),1978-10-01,2023-05-07,39.45,-120.29,2128,Sierra,539
SNTL,CA,independence lake ,Sagehen Creek (160501020104),1978-10-01,2023-05-07,39.43,-120.31,2541,Nevada,541
SNTL,CA,lobdell lake ,Deep Creek (160503020201),1978-10-01,2023-05-07,38.44,-119.37,2819,Mono,587
SNTL,CA,sonora pass ,Leavitt Creek-West Walker River (160503020104),1978-10-01,2023-05-07,38.31,-119.6,2673,Mono,771
SNTL,CA,virginia lakes ridge ,Virginia Creek (160503010103),1978-10-01,2023-05-07,38.07,-119.23,2865,Mono,846
SNTL,CO,arrow ,Upper Fraser River (140100010202),1978-10-01,2013-10-01,39.92,-105.76,2950,Grand,305
SNTL,CO,burro mountain ,North Elk Creek (140500050302),1978-10-01,2023-05-07,39.88,-107.6,2840,Rio Blanco,378
SNTL,CO,cascade ,Headwaters Cascade Creek (140801040201),1978-10-01,2022-10-01,37.65,-107.81,2707,San Juan,386
SNTL,CO,columbine ,Upper Grizzly Creek (101800010102),1978-10-01,2023-05-07,40.4,-106.6,2794,Jackson,408
SNTL,CO,copper mountain ,West Tenmile Creek (140100020302),1978-10-01,2023-05-07,39.49,-106.17,3207,Summit,415
SNTL,CO,culebra #2 ,Headwaters Culebra Creek (130100020902),1978-10-01,2023-05-07,37.21,-105.2,3219,Costilla,430
SNTL,CO,deadman hill ,Lower Dale Creek (101900070502),1978-10-01,2023-05-07,40.81,-105.77,3121,Larimer,438
SNTL,CO,elk river ,Steamboat Lake (140500010206),1978-10-01,2023-05-07,40.85,-106.97,2664,Routt,467
SNTL,CO,joe wright ,Joe Wright Creek (101900070204),1978-10-01,2023-05-07,40.53,-105.89,3096,Larimer,551
SNTL,CO,lake eldora ,Middle Boulder Creek (101900050402),1978-10-01,2023-05-07,39.94,-105.59,2965,Boulder,564
SNTL,CO,lake irene ,Headwaters Colorado River (140100010302),1978-10-01,2023-05-07,40.41,-105.82,3256,Grand,565
SNTL,CO,mineral creek ,Mineral Creek (140801040103),1978-10-01,2023-05-07,37.85,-107.73,3062,San Juan,629
SNTL,CO,park reservoir ,Surface Creek (140200050111),1978-10-01,2023-05-07,39.04,-107.88,3044,Delta,682
SNTL,CO,porphyry creek ,Porphyry Creek-Tomichi Creek (140200030105),1978-10-01,2023-05-07,38.49,-106.34,3288,Gunnison,701
SNTL,CO,tower ,Fish Creek (140500010407),1978-10-01,2023-05-07,40.54,-106.68,3237,Routt,825
SNTL,CO,university camp ,North Boulder Creek (101900050401),1978-10-01,2023-05-07,40.03,-105.58,3158,Boulder,838
